,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz
,70.29154097,34.40868352,738.1054215,1.22387651,2.537447467,2.733158316,70.29346189,34.41312157,738.1052725,1.218172211,2.546885243,2.754126776,70.29110086,34.42843704,738.0808831,1.32065584,2.493664006,2.77209707,70.29723713,34.44346712,738.0960912,1.426514468,2.547480364,2.761105047
,70.29139303,34.40866668,738.1055119,1.223854567,2.537515133,2.732178682,70.29369234,34.41327548,738.1053071,1.21928085,2.546447684,2.753879518,70.29149467,34.42954259,738.08098,1.320055441,2.492792541,2.773460613,70.29735159,34.44326759,738.0956102,1.42748726,2.547099534,2.758484732
,70.29162491,34.40856824,738.1056001,1.223907122,2.537499611,2.73258628,70.29390792,34.41308236,738.1053518,1.22016187,2.54612334,2.752306054,70.29217607,34.43156226,738.0810988,1.319785455,2.492012357,2.772343834,70.29715576,34.44267815,738.0950549,1.428410776,2.546339408,2.759483845
,70.29139074,34.40848167,738.1057072,1.22391153,2.537786056,2.731939489,70.2941,34.41334742,738.1053531,1.221074343,2.545784828,2.752305516,70.2927358,34.4333203,738.0811818,1.320167807,2.491211193,2.769420285,70.2968889,34.44235565,738.0944831,1.429519601,2.545237528,2.760331283
,70.29143366,34.40841493,738.1058119,1.223647362,2.538492615,2.729230238,70.29403695,34.41369629,738.1053287,1.222022309,2.545528961,2.752410473,70.29303637,34.43590869,738.081411,1.320535185,2.491040382,2.767174414,70.29665636,34.4419566,738.0939117,1.430643163,2.544127314,2.760302078
,70.29104455,34.40816372,738.1059545,1.223387816,2.539454912,2.73155371,70.29398468,34.41458471,738.1052867,1.222968322,2.545426329,2.751973345,70.29337912,34.43865072,738.0816534,1.32140118,2.490877053,2.766612085,70.29636094,34.44085732,738.0932929,1.43182108,2.542935299,2.761504629
,70.29065541,34.4079125,738.106097,1.223218184,2.540386569,2.733878346,70.29423106,34.41555142,738.1052525,1.223937061,2.545266123,2.749849772,70.29378539,34.44147325,738.0819586,1.322245395,2.491161029,2.76446282,70.29664566,34.43995037,738.0926751,1.432750604,2.541904958,2.761983228
,70.29089533,34.4078567,738.1062019,1.223089501,2.541264677,2.734076815,70.2940953,34.41705576,738.105248,1.225071991,2.545124723,2.749505809,70.2941947,34.44538378,738.0824183,1.32212269,2.49189905,2.762506119,70.29662067,34.43983601,738.092122,1.433282831,2.541045393,2.760732768
,70.29113127,34.40779895,738.106265,1.222941775,2.542052659,2.734279066,70.29409214,34.41966156,738.1051937,1.226213415,2.544842328,2.748766181,70.29466098,34.44988564,738.0829815,1.321982114,2.493117713,2.761150875,70.29640286,34.43932956,738.0916186,1.433650248,2.540395727,2.759827995
,70.2910162,34.40746668,738.1063082,1.222902142,2.542767355,2.734157064,70.29403757,34.42233923,738.1051647,1.227090114,2.544715163,2.747996278,70.29523891,34.4542692,738.0836626,1.321703784,2.494784926,2.761404192,70.29657113,34.43880518,738.0911252,1.434118393,2.53985844,2.761117145
,70.29145296,34.40755676,738.1063227,1.222750925,2.543489,2.734144419,70.29456258,34.42661931,738.1051668,1.227612919,2.544657326,2.745075083,70.29585023,34.45877368,738.0843501,1.321535881,2.496475105,2.761771754,70.29623108,34.43881631,738.0906877,1.434258176,2.53927473,2.761162463
,70.29165084,34.40772366,738.1063675,1.222362729,2.544300621,2.735007269,70.29571698,34.43151931,738.1051884,1.2276875,2.54477638,2.742316743,70.29653457,34.46397334,738.0851142,1.320769342,2.498653495,2.756656602,70.29640372,34.43918178,738.0903519,1.434031749,2.539239115,2.761289361
,70.29193099,34.40793637,738.1063518,1.221801633,2.545069449,2.733178848,70.29688093,34.43676374,738.1051439,1.227930515,2.544634527,2.740890392,70.29716958,34.46869232,738.085896,1.319564342,2.501106886,2.752934126,70.29654607,34.43919635,738.0900798,1.433970482,2.539359467,2.761618332
