,tag 0 x,tag 0 y,tag 0 z,tag 0 rx,tag 0 ry,tag 0 rz,,,,,,
,97.59942745,-0.510438796,755.1555966,0.92191148,-0.769647924,3.082866872,,,,,,
,97.59954684,-0.51040434,755.155464,0.921995366,-0.770200976,3.082759539,,,,,,
,97.59947632,-0.510602411,755.1553626,0.92197651,-0.770545387,3.082896867,,,,,,
,97.59941312,-0.51080052,755.1553177,0.921747087,-0.770490352,3.083037239,,,,,,
,97.5993545,-0.510998653,755.1553084,0.921430645,-0.770335904,3.083178363,,,,,,
,97.59916956,-0.511040473,755.1553474,0.921003372,-0.770123403,3.083052961,,,,,,
,97.59921359,-0.511068392,755.1554279,0.920463174,-0.769891752,3.083344269,,,,,,
,97.59935034,-0.511399107,755.1555498,0.919788722,-0.76956522,3.085250818,,,,,,
,97.59918952,-0.511535599,755.1557243,0.919024773,-0.769000107,3.086531297,,,,,,
,97.59903401,-0.51167212,755.1559399,0.918227789,-0.768263192,3.087813055,,,,,,
,97.59892669,-0.511537701,755.1561972,0.917357845,-0.767376095,3.087639371,,,,,,
,97.59895448,-0.511413314,755.1564309,0.916603849,-0.766395235,3.087537848,,,,,,
,97.59919855,-0.511305764,755.1566149,0.916074155,-0.765723166,3.087743928,,,,,,
,97.5994364,-0.511198182,755.1567507,0.915722176,-0.765322982,3.08794794,,,,,,
,97.59967114,-0.511090584,755.1568625,0.915384947,-0.764988629,3.088151462,,,,,,
,97.6005641,-0.510763836,755.1568963,0.915294059,-0.764861149,3.087588775,,,,,,
,97.60146086,-0.510437107,755.1569596,0.91533998,-0.7646091,3.087026998,,,,,,
,97.60227982,-0.50980766,755.1570969,0.915407484,-0.764357278,3.084850346,,,,,,
,97.60400713,-0.509178934,755.1572705,0.915358093,-0.764084303,3.083769592,,,,,,
,97.605733,-0.508550201,755.1574329,0.915362121,-0.764015505,3.082687193,,,,,,
,97.60785217,-0.507928233,755.1575799,0.915645208,-0.764104887,3.08178217,,,,,,
,97.6099744,-0.507306281,755.1577507,0.915935787,-0.764410648,3.080875407,,,,,,
,97.61164307,-0.50711984,755.1579576,0.915915335,-0.764472607,3.081478384,,,,,,
,97.61331361,-0.506933408,755.158179,0.915789685,-0.764493403,3.082081666,,,,,,
,97.61498566,-0.506746983,755.158412,0.915598303,-0.764379099,3.08268597,,,,,,
,97.61638503,-0.506873609,755.1586839,0.915379797,-0.764047748,3.083998698,,,,,,
,97.61777798,-0.507000202,755.1589061,0.915281619,-0.763854425,3.085310354,,,,,,
,97.61915813,-0.507126728,755.1590292,0.915317268,-0.763737147,3.086621412,,,,,,
,97.61960891,-0.507129366,755.1590828,0.915501166,-0.763841156,3.08515524,,,,,,
,97.62005905,-0.507132,755.1591314,0.915624777,-0.763813343,3.08369,,,,,,
,97.62006872,-0.507398815,755.1591616,0.915595011,-0.76380736,3.083503013,,,,,,
,97.62002185,-0.507771685,755.1591858,0.915522808,-0.763704667,3.084759115,,,,,,
,97.62020719,-0.507692179,755.1591845,0.915771861,-0.763817955,3.084195845,,,,,,
,97.62039121,-0.507612666,755.1591729,0.916171727,-0.763940661,3.083632509,,,,,,
,97.62073879,-0.507466973,755.1591762,0.916654992,-0.76400603,3.082037036,,,,,,
,97.62083095,-0.507383713,755.1591996,0.917021576,-0.764082129,3.080766525,,,,,,
,97.62038002,-0.507392217,755.1592474,0.917027795,-0.76402194,3.08059173,,,,,,
,97.61993836,-0.507400771,755.159367,0.916810593,-0.763751481,3.080418544,,,,,,
,97.61952297,-0.507532518,755.1595606,0.916424975,-0.763148137,3.081927606,,,,,,
,97.61942663,-0.507595768,755.159775,0.916039178,-0.762522002,3.082772475,,,,,,
,97.61932625,-0.507658998,755.159958,0.915770027,-0.761878483,3.083617432,,,,,,
,97.61921973,-0.507711872,755.1601405,0.915331538,-0.761244685,3.082970404,,,,,,
,97.61911785,-0.507764771,755.1603589,0.914594262,-0.76050283,3.082324189,,,,,,
,97.61902159,-0.507817699,755.1606207,0.913616157,-0.759761412,3.081677956,,,,,,
,97.61867924,-0.507819225,755.1608902,0.912484875,-0.759020023,3.082679973,,,,,,
,97.61834146,-0.507820775,755.1611953,0.911228286,-0.758204506,3.083682498,,,,,,
,97.61880515,-0.507861661,755.1614764,0.910248645,-0.757591465,3.083530063,,,,,,
,97.61926403,-0.507902522,755.1617202,0.909337553,-0.757109472,3.083376618,,,,,,
,97.61971895,-0.507943362,755.1619335,0.908492669,-0.756734045,3.083222349,,,,,,
,97.61977394,-0.508030984,755.1621477,0.907664521,-0.75635279,3.083749706,,,,,,
,97.61983426,-0.508118633,755.1624032,0.906676058,-0.755863104,3.084277895,,,,,,
,97.61995619,-0.508110576,755.1626569,0.905810554,-0.755401513,3.084855564,,,,,,
,97.61995621,-0.507949831,755.1629053,0.905096377,-0.754887472,3.084934751,,,,,,
,97.61995292,-0.507789069,755.163128,0.904507947,-0.754342241,3.085014175,,,,,,
,97.62003295,-0.507745894,755.1633339,0.90401802,-0.753743535,3.084478295,,,,,,
,97.6202619,-0.507923055,755.1634933,0.903776746,-0.753243485,3.085148406,,,,,,
,97.62023086,-0.507969107,755.1636395,0.903662501,-0.752776582,3.085877172,,,,,,
,97.6201794,-0.507800231,755.1637358,0.903828554,-0.752440721,3.085713674,,,,,,
,97.62012875,-0.507631359,755.1638383,0.904101664,-0.752096572,3.085550244,,,,,,
,97.62015738,-0.507484195,755.1639067,0.904509362,-0.751867563,3.085368616,,,,,,
,97.62028794,-0.507672977,755.1639716,0.905055427,-0.751710917,3.085868543,,,,,,
,97.62041873,-0.507861761,755.1640382,0.90564446,-0.751607085,3.086368068,,,,,,
,97.62037962,-0.508046069,755.1641105,0.906221784,-0.751544786,3.086904474,,,,,,
,97.62034386,-0.508230395,755.1642088,0.906802069,-0.751504287,3.087440709,,,,,,
,97.6204682,-0.508434877,755.1643047,0.907422972,-0.75168622,3.087395765,,,,,,
,97.62043837,-0.508418994,755.1644067,0.908071867,-0.752073904,3.086142458,,,,,,
,97.6204097,-0.508403118,755.1645177,0.908673646,-0.752577548,3.084888265,,,,,,
,97.62039533,-0.508602137,755.1646312,0.90923883,-0.753227023,3.084524193,,,,,,
,97.62042848,-0.508845151,755.1646904,0.909981351,-0.754142887,3.08461419,,,,,,
,97.62046163,-0.509088164,755.1647495,0.91084861,-0.755086092,3.08470398,,,,,,
,97.62030531,-0.508938741,755.1648175,0.911647668,-0.755985377,3.084461978,,,,,,
,97.62014944,-0.508789321,755.1648889,0.912472527,-0.7570206,3.084218939,,,,,,
,97.62028422,-0.508797058,755.1649512,0.913378774,-0.758102927,3.084437201,,,,,,
,97.62067505,-0.508992418,755.1649973,0.914275858,-0.75917546,3.085137322,,,,,,
,97.62090833,-0.509167635,755.1650655,0.915093058,-0.760155928,3.086417744,,,,,,
,97.62114998,-0.509342896,755.1651984,0.915659091,-0.760820938,3.087700557,,,,,,
,97.62120522,-0.509223398,755.1653218,0.916137277,-0.761402527,3.08720538,,,,,,
,97.62125719,-0.509103882,755.1654198,0.916468289,-0.761791784,3.086711658,,,,,,
,97.62128361,-0.509197912,755.1655299,0.916568734,-0.761870065,3.086109329,,,,,,
,97.62130935,-0.509291938,755.1656347,0.916426692,-0.761705661,3.08550889,,,,,,
,97.621423,-0.509442455,755.1657371,0.916122971,-0.761413099,3.084559466,,,,,,
,97.62152816,-0.509753349,755.1658335,0.915628082,-0.760768626,3.085356961,,,,,,
,97.62162912,-0.510064221,755.1658975,0.915058702,-0.760164225,3.086154102,,,,,,
,97.62166811,-0.509698682,755.165925,0.914670396,-0.759587364,3.083458245,,,,,,
,97.62170331,-0.509333122,755.1659231,0.914472926,-0.758983386,3.080762666,,,,,,
,97.62173129,-0.508967525,755.1658654,0.914428457,-0.758444956,3.078066658,,,,,,
,97.62196508,-0.509139631,755.1658225,0.914136746,-0.757711145,3.078042132,,,,,,
,97.62220393,-0.509311762,755.1658186,0.913873051,-0.757013694,3.078017331,,,,,,
,97.62229339,-0.509296326,755.1658036,0.913752529,-0.756374359,3.078504768,,,,,,
,97.62238376,-0.509280894,755.1657957,0.9136775,-0.755685166,3.078992579,,,,,,
,97.62247334,-0.509265458,755.1657817,0.91372394,-0.75491351,3.079481015,,,,,,
,97.62276835,-0.509352997,755.1657481,0.913897255,-0.754380586,3.079680097,,,,,,
,97.62306531,-0.509440546,755.1657296,0.914147455,-0.753842335,3.079879234,,,,,,
,97.62316544,-0.510016869,755.1657425,0.91421056,-0.753382775,3.083088838,,,,,,
,97.62314066,-0.510348727,755.1657706,0.914079468,-0.752985437,3.084841828,,,,,,
,97.62311603,-0.510680585,755.1657998,0.913834973,-0.752656797,3.086594341,,,,,,
,97.62284521,-0.510504685,755.1658282,0.913810171,-0.75230386,3.086690079,,,,,,
,97.62256828,-0.510328753,755.1658094,0.913885192,-0.752055835,3.086785013,,,,,,
,97.6224075,-0.510082792,755.165757,0.913987414,-0.752028056,3.086020111,,,,,,
,97.62229988,-0.510180556,755.1656916,0.914108221,-0.752081399,3.086496655,,,,,,
