r1,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.00117858,0.00146764,0.002946546,0.007952311,0.008049885,0.004560744
standard deviation,0.001527058,0.001805014,0.003989841,0.009682946,0.00979295,0.005739256
r25,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.002331867,0.002091045,0.004923319,0.02497223,0.013810198,0.00854707
standard deviation,0.00290617,0.002632589,0.005781845,0.030282816,0.016456033,0.010493592
r26,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001932971,0.002968952,0.005672425,0.022998552,0.028872834,0.007061622
standard deviation,0.002450147,0.004418512,0.006933571,0.030672252,0.039218499,0.008959933
r27,,,,,,
,Tx,Ty,Tz,Rx,Ry,Rz
mean absolute deviation,0.001343084,0.002415398,0.002686218,0.014177859,0.010382629,0.007090808
standard deviation,0.002025485,0.00372945,0.003343924,0.017104348,0.013808802,0.008481173
,,,,,,
,,,,,,
mean mean,0.002039244,0.002199085,0.003164418,0.013694182,0.014178614,0.005834691
std mean,0.002708386,0.002832814,0.004061076,0.017288205,0.018565992,0.007273619
